"Education and training classification by detailed occupation",,,,
"This table has been updated to correct errors in the category assignments for select occupations. More information on the changes is available at http://www.bls.gov/errata/emp_corrections_01132012.htm",,,,
"2010 National Employment Matrix title and code",,"Typical education needed for entry","Work experience in a related occupation","Typical on-the-job training needed to attain competency in the occupation"
"Patternmakers, Wood","51-7032","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Sawing Machine Setters, Operators, and Tenders, Wood","51-7041","High school diploma or equivalent","None","Short-term on-the-job training"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","51-7042","High school diploma or equivalent","None","Short-term on-the-job training"
"Woodworkers, All Other","51-7099","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Nuclear Power Reactor Operators","51-8011","High school diploma or equivalent","None","Long-term on-the-job training"
"Power Distributors and Dispatchers","51-8012","High school diploma or equivalent","None","Long-term on-the-job training"
"Power Plant Operators","51-8013","High school diploma or equivalent","None","Long-term on-the-job training"
"Stationary Engineers and Boiler Operators","51-8021","High school diploma or equivalent","None","Long-term on-the-job training"
"Water and Wastewater Treatment Plant and System Operators","51-8031","High school diploma or equivalent","None","Long-term on-the-job training"
"Chemical Plant and System Operators","51-8091","High school diploma or equivalent","None","Long-term on-the-job training"
"Gas Plant Operators","51-8092","High school diploma or equivalent","None","Long-term on-the-job training"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","51-8093","High school diploma or equivalent","None","Long-term on-the-job training"
"Plant and System Operators, All Other","51-8099","High school diploma or equivalent","None","Long-term on-the-job training"
"Chemical Equipment Operators and Tenders","51-9011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","51-9012","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","51-9021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Grinding and Polishing Workers, Hand","51-9022","Less than high school","None","Moderate-term on-the-job training"
"Mixing and Blending Machine Setters, Operators, and Tenders","51-9023","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Cutters and Trimmers, Hand","51-9031","Less than high school","None","Short-term on-the-job training"
"Cutting and Slicing Machine Setters, Operators, and Tenders","51-9032","High school diploma or equivalent","None","Short-term on-the-job training"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","51-9041","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","51-9051","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Inspectors, Testers, Sorters, Samplers, and Weighers","51-9061","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Jewelers and Precious Stone and Metal Workers","51-9071","High school diploma or equivalent","None","Long-term on-the-job training"
"Dental Laboratory Technicians","51-9081","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Medical Appliance Technicians","51-9082","High school diploma or equivalent","None","Long-term on-the-job training"
"Ophthalmic Laboratory Technicians","51-9083","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Packaging and Filling Machine Operators and Tenders","51-9111","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","51-9121","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Painters, Transportation Equipment","51-9122","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Painting, Coating, and Decorating Workers","51-9123","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Semiconductor Processors","51-9141","Associate's degree","None","Moderate-term on-the-job training"
"Photographic Process Workers and Processing Machine Operators","51-9151","High school diploma or equivalent","None","Short-term on-the-job training"
"Adhesive Bonding Machine Operators and Tenders","51-9191","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","51-9192","Less than high school","None","Moderate-term on-the-job training"
"Cooling and Freezing Equipment Operators and Tenders","51-9193","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Etchers and Engravers","51-9194","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Molders, Shapers, and Casters, Except Metal and Plastic","51-9195","High school diploma or equivalent","None","Long-term on-the-job training"
"Paper Goods Machine Setters, Operators, and Tenders","51-9196","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Tire Builders","51-9197","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Helpers--Production Workers","51-9198","Less than high school","None","Short-term on-the-job training"
"Production Workers, All Other","51-9399","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Aircraft Cargo Handling Supervisors","53-1011","High school diploma or equivalent","1 to 5 years","None"
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","53-1021","High school diploma or equivalent","1 to 5 years","None"
"First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators","53-1031","High school diploma or equivalent","1 to 5 years","None"
"Airline Pilots, Copilots, and Flight Engineers","53-2011","Bachelor's degree","1 to 5 years","Moderate-term on-the-job training"
"Commercial Pilots","53-2012","Postsecondary non-degree award","None","None"
"Air Traffic Controllers","53-2021","Associate's degree","None","Long-term on-the-job training"
"Airfield Operations Specialists","53-2022","High school diploma or equivalent","None","Long-term on-the-job training"
"Flight Attendants","53-2031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","53-3011","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Bus Drivers, Transit and Intercity","53-3021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Bus Drivers, School or Special Client","53-3022","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Driver/Sales Workers","53-3031","High school diploma or equivalent","None","Short-term on-the-job training"
"Heavy and Tractor-Trailer Truck Drivers","53-3032","High school diploma or equivalent","1 to 5 years","Short-term on-the-job training"
"Light Truck or Delivery Services Drivers","53-3033","High school diploma or equivalent","None","Short-term on-the-job training"
"Taxi Drivers and Chauffeurs","53-3041","Less than high school","None","Short-term on-the-job training"
"Motor Vehicle Operators, All Other","53-3099","High school diploma or equivalent","None","Short-term on-the-job training"
"Locomotive Engineers","53-4011","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training"
"Locomotive Firers","53-4012","High school diploma or equivalent","None","Short-term on-the-job training"
"Rail Yard Engineers, Dinkey Operators, and Hostlers","53-4013","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Railroad Brake, Signal, and Switch Operators","53-4021","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Railroad Conductors and Yardmasters","53-4031","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Subway and Streetcar Operators","53-4041","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Rail Transportation Workers, All Other","53-4099","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Sailors and Marine Oilers","53-5011","Less than high school","None","Short-term on-the-job training"
"Captains, Mates, and Pilots of Water Vessels","53-5021","Bachelor's degree","None","None"
"Motorboat Operators","53-5022","High school diploma or equivalent","None","Short-term on-the-job training"
"Ship Engineers","53-5031","Bachelor's degree","None","None"
"Bridge and Lock Tenders","53-6011","Less than high school","None","Short-term on-the-job training"
"Parking Lot Attendants","53-6021","Less than high school","None","Short-term on-the-job training"
"Automotive and Watercraft Service Attendants","53-6031","Less than high school","None","Short-term on-the-job training"
"Traffic Technicians","53-6041","Less than high school","None","Short-term on-the-job training"
"Transportation Inspectors","53-6051","Some college, no degree","None","Short-term on-the-job training"
"Transportation Attendants, Except Flight Attendants","53-6061","High school diploma or equivalent","None","Short-term on-the-job training"
"Transportation Workers, All Other","53-6099","High school diploma or equivalent","None","Short-term on-the-job training"
"Conveyor Operators and Tenders","53-7011","Less than high school","None","Short-term on-the-job training"
"Crane and Tower Operators","53-7021","Less than high school","1 to 5 years","Long-term on-the-job training"
"Dredge Operators","53-7031","Less than high school","None","Short-term on-the-job training"
"Excavating and Loading Machine and Dragline Operators","53-7032","Less than high school","1 to 5 years","Moderate-term on-the-job training"
"Loading Machine Operators, Underground Mining","53-7033","Less than high school","None","Short-term on-the-job training"
"Hoist and Winch Operators","53-7041","Less than high school","None","Moderate-term on-the-job training"
"Industrial Truck and Tractor Operators","53-7051","Less than high school","Less than 1 year","Short-term on-the-job training"
"Cleaners of Vehicles and Equipment","53-7061","Less than high school","None","Short-term on-the-job training"
"Laborers and Freight, Stock, and Material Movers, Hand","53-7062","Less than high school","None","Short-term on-the-job training"
"Machine Feeders and Offbearers","53-7063","Less than high school","None","Short-term on-the-job training"
"Packers and Packagers, Hand","53-7064","Less than high school","None","Short-term on-the-job training"
"Gas Compressor and Gas Pumping Station Operators","53-7071","Less than high school","None","Moderate-term on-the-job training"
"Pump Operators, Except Wellhead Pumpers","53-7072","Less than high school","None","Moderate-term on-the-job training"
"Wellhead Pumpers","53-7073","Less than high school","Less than 1 year","Moderate-term on-the-job training"
"Refuse and Recyclable Material Collectors","53-7081","Less than high school","None","Short-term on-the-job training"
"Mine Shuttle Car Operators","53-7111","Less than high school","None","Short-term on-the-job training"
"Tank Car, Truck, and Ship Loaders","53-7121","Less than high school","None","Short-term on-the-job training"
"Material Moving Workers, All Other","53-7199","Less than high school","None","Short-term on-the-job training"
"Source: Employment Projections program, U.S. Department of Labor, U.S. Bureau of Labor Statistics",,,,
